-entrepreneur-series-article-2,uang,karir,online
-the-art-of-letting-go,persahabatan,percaya diri,cinta
10-tips-to-help-girls-become-leaders,percaya diri,persahabatan,tujuan
3-beauty-vlogger-yang-wajib-kalian-subscribe-di-youtube,pendidikan,online,kecantikan
3-fakta-tentang-jakarta-wanita,karir,keamanan,hubungan
3-olahraga-ringan-yang-bisa-kalian-lakuin-tanpa-keluar-kamar,kesehatan,masa pubertas,kecantikan
3-penyair-wanita-indonesia-dan-puisinya,tujuan,percaya diri,karir
3-sikap-santun-saat-teman-berpuasa,persahabatan,hubungan,tujuan
3-sikap-yang-mesti-kamu-punya-sebagai-pencari-kerja,karir,tujuan,uang
3-situs-belajar-coding,karir,pendidikan,uang
4-film-dengan-karakter-perempuan-kuat-tangguh,percaya diri,tujuan,persahabatan
4-keraguan-yang-harus-dijawab-sebelum-ketemuan-sama-teman-internet,persahabatan,online,keamanan
4-kiat-tetap-segar-saat-berpuasa,nutrisi,kesehatan,masa pubertas
4-obat-patah-hati-ala-cewekeren,hubungan,percaya diri,persahabatan
4-website-wajib-buat-kamu-yang-pengen-kerja,karir,tujuan,uang
4-youtube-channel-yang-bisa-bikin-kamu-makin-pintar,online,pendidikan,tujuan
4usefultrickstoaceyourexams,pendidikan,tujuan,masa pubertas
5-all-natural--and-cheap--beauty-products-in-your-kitchen,kecantikan,nutrisi,kesehatan
5-aplikasi-yang-bisa-bantu-kamu-mencapai-resolusi-tahun-baru,tujuan,masa pubertas,percaya diri
5-cara-mengurangi-stres-saat-ujian,pendidikan,tujuan,masa pubertas
5-ide-ngisi-liburan-ala-anak-rumahan,masa pubertas,keluarga,persahabatan
5-makanan-sehat-yang-baik-dikonsumsi-saat-ujian,nutrisi,kesehatan,tujuan
5-quotes-kartini-yang-akan-membuka-pikiranmu,tujuan,hak,masa pubertas
5-tahap-tuk-bilang-bye-ke-masa-lalumu,tujuan,hak,percaya diri
5-trik-untuk-memulai-percakapan-dengan-orang-baru,hubungan,persahabatan,percaya diri
500-girls-shared-their-dreams,tujuan,percaya diri,masa pubertas
6-pertanyaan-penting-yang-paling-sering-ditanyain-saat-wawancara-kerja,karir,tujuan,uang
a-girl-is-not-meant-to-be-a-slave,tujuan,hak,percaya diri
a-mother-at-16,keluarga,tujuan,masa pubertas
ada-yang-aneh-dengan-si-kakak,keluarga,hubungan,masa pubertas
ada-yang-bisa-kubantu,persahabatan,hubungan,cinta
aku-cewek-dan-aku-tomboi,tujuan,percaya diri,hak
aku-harus-lebih-baik,tujuan,percaya diri,karir
aku-ingin-jadi-ahli-botani,karir,tujuan,percaya diri
aku-kamu-adalah-saudara,persahabatan,cinta,hubungan
aku-kecewa-sama-kakak-ku,hubungan,keluarga,masa pubertas
aku-putus-dengan-sahabatku,persahabatan,masa pubertas,hubungan
aku-sempurna-dengan-caraku,percaya diri,tujuan,masa pubertas
akun-resmi-di-line-yang-wajib-kamu-follow,online,masa pubertas,tujuan
alone-and-suffering,masa pubertas,tujuan,persahabatan
always-be-the-best-to-your-bestie,persahabatan,hubungan,masa pubertas
anak-jalanan-adalah-kita,persahabatan,masa pubertas,percaya diri
